transaction_id,date,expected_rzp_amount,actual_bank_amount,bank_narration,true_anomaly_type
txn_a481a906,2026-08-06,2455.07,2455.07,NEFT-RZP-SETTLEMENT-TXN_A481A906,CLEAN
txn_2fb6803f,2026-08-09,4874.55,4874.55,SYSTEM_ERR_RETRY_8645_RZP,GARBLED_DESC
txn_7cf074d6,2026-08-04,1211.24,1211.24,NEFT-RZP-SETTLEMENT-TXN_7CF074D6,CLEAN
txn_f4f47dc7,2026-08-19,2518.32,2518.32,NEFT-RZP-SETTLEMENT-TXN_F4F47DC7,CLEAN
txn_33e09d17,2026-08-09,4132.03,4132.03,NEFT-RZP-SETTLEMENT-TXN_33E09D17,CLEAN
txn_338599f8,2026-08-08,1610.93,1460.93,NEFT-RZP-CUST-REFUND-DED-TXN_338599F8,PARTIAL_REFUND
txn_e2898113,2026-08-16,1261.08,1261.08,NEFT-RZP-SETTLEMENT-TXN_E2898113,CLEAN
txn_4c4bc466,2026-08-15,4735.77,4735.77,SYSTEM_ERR_RETRY_1899_RZP,GARBLED_DESC
txn_da73e7a4,2026-08-09,3354.48,3354.48,NEFT-RZP-SETTLEMENT-TXN_DA73E7A4,CLEAN
txn_edae9c2e,2026-08-20,2186.2,2186.2,NEFT-RZP-SETTLEMENT-TXN_EDAE9C2E,CLEAN
txn_9a19368a,2026-08-20,2354.96,2354.96,NEFT-RZP-SETTLEMENT-TXN_9A19368A,CLEAN
txn_de4ce466,2026-08-25,3916.95,3916.95,NEFT-RZP-SETTLEMENT-TXN_DE4CE466,CLEAN
txn_04630bea,2026-08-15,1420.26,1270.26,NEFT-RZP-CUST-REFUND-DED-TXN_04630BEA,PARTIAL_REFUND
txn_2683c352,2026-07-28,4281.67,4196.04,RTGS-RZP-TDS-ADJ-TXN_,TAX_DEDUCTION
txn_f3119a4e,2026-08-03,3140.58,3140.58,NEFT-RZP-SETTLEMENT-TXN_F3119A4E,CLEAN
txn_1a4763d3,2026-08-06,3555.1,3555.1,SYSTEM_ERR_RETRY_4092_RZP,GARBLED_DESC
txn_47fe3f78,2026-08-22,4729.98,4729.98,NEFT-RZP-SETTLEMENT-TXN_47FE3F78,CLEAN
txn_77278d83,2026-08-12,1965.09,1965.09,NEFT-RZP-SETTLEMENT-TXN_77278D83,CLEAN
txn_85af37f2,2026-07-29,3348.09,3281.13,RTGS-RZP-TDS-ADJ-TXN_,TAX_DEDUCTION
txn_662396e4,2026-08-17,2110.74,2110.74,NEFT-RZP-SETTLEMENT-TXN_662396E4,CLEAN
txn_5341cad2,2026-08-13,2954.86,2895.76,RTGS-RZP-TDS-ADJ-TXN_,TAX_DEDUCTION
txn_0c3b639e,2026-08-07,1186.22,1186.22,NEFT-RZP-SETTLEMENT-TXN_0C3B639E,CLEAN
txn_fa9d0310,2026-08-24,1785.14,1785.14,NEFT-RZP-SETTLEMENT-TXN_FA9D0310,CLEAN
txn_c03203e8,2026-08-18,1204.58,1054.58,NEFT-RZP-CUST-REFUND-DED-TXN_C03203E8,PARTIAL_REFUND
txn_747532b4,2026-08-20,3437.86,3437.86,NEFT-RZP-SETTLEMENT-TXN_747532B4,CLEAN
txn_d8248291,2026-08-07,510.18,510.18,NEFT-RZP-SETTLEMENT-TXN_D8248291,CLEAN
txn_7247a2d8,2026-08-03,4258.42,4258.42,NEFT-RZP-SETTLEMENT-TXN_7247A2D8,CLEAN
txn_5bc36775,2026-08-16,2062.28,1912.28,NEFT-RZP-CUST-REFUND-DED-TXN_5BC36775,PARTIAL_REFUND
txn_5de5d0ce,2026-08-03,1833.99,1833.99,NEFT-RZP-SETTLEMENT-TXN_5DE5D0CE,CLEAN
txn_86fc9605,2026-07-26,2552.9,2552.9,NEFT-RZP-SETTLEMENT-TXN_86FC9605,CLEAN
txn_5a6770f6,2026-08-06,4722.58,4722.58,NEFT-RZP-SETTLEMENT-TXN_5A6770F6,CLEAN
txn_80133d72,2026-08-20,3997.38,3847.38,NEFT-RZP-CUST-REFUND-DED-TXN_80133D72,PARTIAL_REFUND
txn_367ada65,2026-08-24,1215.98,1215.98,NEFT-RZP-SETTLEMENT-TXN_367ADA65,CLEAN
txn_7c409384,2026-08-05,1977.55,1977.55,NEFT-RZP-SETTLEMENT-TXN_7C409384,CLEAN
